input bits,output bits,mean,standard deviation,min error,max error
15,30,-1.59901e-10,4.04091e-05,-0.000174055,0.000174055
15,31,-1.14028e-10,4.04091e-05,-0.000174048,0.000174048
15,32,4.26132e-14,4.04092e-05,-0.000174046,0.000174046
16,4,-0.00669479,0.229982,-0.59362,0.59362
16,5,-0.0143919,0.113366,-0.30877,0.25294
16,6,-0.00393152,0.0609694,-0.144607,0.187609
16,7,-0.00346684,0.038735,-0.113831,0.113831
16,8,-0.00142109,0.0196804,-0.0648402,0.0639055
16,9,-0.000312507,0.010841,-0.0349796,0.0349796
16,10,-0.000210017,0.00609062,-0.0188277,0.0209368
16,11,-0.000164941,0.00303226,-0.0111479,0.0131243
16,12,-3.7089e-05,0.00162817,-0.00631136,0.00628836
16,13,-1.6477e-05,0.000868665,-0.00353416,0.00353416
16,14,-2.14949e-05,0.000462159,-0.00186311,0.00198581
16,15,-4.46755e-06,0.000247707,-0.00100862,0.00113132
16,16,-3.51667e-06,0.000125793,-0.000567137,0.000643038
16,17,-1.10106e-06,6.93634e-05,-0.000303034,0.000307344
16,18,-8.26549e-07,3.79895e-05,-0.000167365,0.000172345
16,19,-1.18976e-07,2.58918e-05,-0.000121589,0.000124984
16,20,-2.3609e-07,2.17518e-05,-0.000101951,0.000101951
16,21,-1.13723e-07,2.0475e-05,-9.62288e-05,9.62288e-05
16,22,-5.21177e-08,2.02629e-05,-9.19239e-05,9.14604e-05
16,23,-1.7626e-08,2.01405e-05,-9.03969e-05,9.03969e-05
16,24,-2.46237e-08,2.00982e-05,-9.01584e-05,8.992e-05
16,25,-1.05174e-08,2.0098e-05,-8.96816e-05,8.96816e-05
16,26,-5.51609e-10,2.00926e-05,-8.9622e-05,8.9622e-05
16,27,-5.65933e-10,2.00938e-05,-8.96518e-05,8.96518e-05
16,28,-1.2476e-09,2.00959e-05,-8.95922e-05,8.95922e-05
16,29,-5.90092e-10,2.00954e-05,-8.95698e-05,8.95847e-05
16,30,-1.6027e-10,2.0095e-05,-8.95549e-05,8.95512e-05
16,31,-1.14255e-10,2.00952e-05,-8.95493e-05,8.95493e-05
16,32,-7.12484e-15,2.00951e-05,-8.95438e-05,8.95438e-05
17,4,-0.00669289,0.229989,-0.593646,0.593646
17,5,-0.0143895,0.113365,-0.30877,0.252944
17,6,-0.00393081,0.0609709,-0.144607,0.18761
17,7,-0.00346673,0.0387305,-0.113797,0.113797
17,8,-0.00142151,0.0196767,-0.0648402,0.0639055
17,9,-0.000312775,0.0108391,-0.0349796,0.0349796
17,10,-0.000210345,0.00609081,-0.0188315,0.0209368
17,11,-0.000164963,0.00303014,-0.0111479,0.0131243
